,From,To
0,5351020,5225405
1,5351020,4985578
2,5351020,9030240
3,5351020,8712166
4,5351020,8553951
5,5351020,8222540
6,5351020,8167481
7,5351020,4751054
8,5351020,4667203
9,5351020,3184017
10,5351020,7630452
11,5351020,5646755
12,5351020,6976953
13,5351020,5691303
14,5351020,5726149
15,5351020,5676397
16,5351020,5126936
17,5351020,696448
18,5225405,9525938
19,5225405,5005289
20,5225405,855527
21,5225405,5907635
22,5225405,5351020
23,5225405,4070248
24,5225405,9338941
25,5225405,9071332
26,5225405,6929771
27,5225405,5972767
28,5225405,4904867
29,5225405,6910061
30,5225405,8041324
31,5225405,8312519
32,5225405,8469155
33,5225405,9508790
34,5225405,8415525
35,5225405,9514217
36,5225405,7139762
37,5225405,2949585
38,4985578,2916124
39,4985578,5351020
40,4985578,5676397
41,9030240,7574872
42,9030240,6836728
43,9030240,9038307
44,9030240,5646755
45,9030240,8553951
46,9030240,5676397
47,9030240,5351020
48,8712166,8718698
49,8712166,5351020
50,8712166,6976953
51,8712166,8714600
52,8553951,8918411
53,8553951,6203871
54,8553951,7574872
55,8553951,6836728
56,8553951,5646755
57,8553951,9252590
58,8553951,9030240
59,8553951,7630452
60,8553951,8309841
61,8553951,5351020
62,8553951,5676397
63,8222540,5351020
64,8167481,8058478
65,8167481,5351020
66,8167481,5676397
67,4751054,5228740
68,4751054,5351020
69,4667203,5351020
70,3184017,5351020
71,3184017,2629950
72,3184017,2974419
73,3184017,2729482
74,3184017,5248606
75,3184017,3990831
76,7630452,9447661
77,7630452,8508450
78,7630452,8553951
79,7630452,7617004
80,7630452,5351020
81,7630452,5676397
82,5646755,3014367
83,5646755,9723313
84,5646755,9922344
85,5646755,9038307
86,5646755,9448581
87,5646755,9252590
88,5646755,8553951
89,5646755,8001743
90,5646755,5676397
91,5646755,9344331
92,5646755,8968690
93,5646755,9030240
94,5646755,5351020
95,5646755,6976953
96,5646755,6119411
97,5646755,4736849
98,5646755,5406916
99,6976953,8712166
100,6976953,8714600
101,6976953,5646755
102,6976953,5726149
103,6976953,5676397
104,6976953,5351020
105,5691303,5726149
106,5691303,5351020
107,5726149,6976953
108,5726149,5691303
109,5726149,5351020
110,5676397,9252590
111,5676397,5646755
112,5676397,9038307
113,5676397,9030240
114,5676397,8553951
115,5676397,4420935
116,5676397,5252206
117,5676397,8167481
118,5676397,7889161
119,5676397,5706592
120,5676397,7889132
121,5676397,7888750
122,5676397,7630452
123,5676397,4985578
124,5676397,6976953
125,5676397,5914024
126,5676397,5351020
127,5676397,5695773
128,5126936,1223164
129,5126936,6132099
130,5126936,5695773
131,5126936,5033567
132,5126936,4659708
133,5126936,5566115
134,5126936,5555633
135,5126936,5555574
136,5126936,5555664
137,5126936,4204918
138,5126936,5351020
139,5126936,696448
140,5126936,4890034
141,5126936,700345
142,5126936,4102335
143,5126936,2905958
144,5126936,5131750
145,5126936,4724205
146,5126936,639094
147,5126936,3605938
148,5126936,4968985
149,5126936,3039048
150,5126936,5169620
151,5126936,2968790
152,696448,5351020
153,696448,2629950
154,696448,5126936
155,696448,2729482
156,696448,5215747
157,696448,5248606
158,696448,5320033
159,696448,5320032
160,696448,5320034
161,696448,5320035
162,696448,798028
163,696448,3990831
164,696448,5317500
165,696448,580779
166,696448,573650
